年度,时间,湿度,降水,温度
2019,8月6日,87,0,33
2019,8月7日,88,0.3,34
2019,8月8日,87,33.1,33
2019,8月9日,92,394.7,29
2019,8月10日,89,50.9,27
2019,8月11日,85,6.4,34
2019,8月12日,85,0.3,35
2019,8月13日,82,6.6,33
2019,8月14日,80,1.6,34
2019,8月15日,83,0.3,32
2019,8月16日,81,0,35
2019,8月17日,79,0,36
2019,8月18日,82,1.4,35
2019,8月19日,87,2.7,32
2019,8月20日,86,0.8,31
2019,8月21日,84,0,33
2019,8月22日,87,2.7,34
2019,8月23日,87,11.6,34
2019,8月24日,86,4.3,34
2019,8月25日,85,0,31
2019,8月26日,88,0,36
2019,8月27日,89,1.8,37
2019,8月28日,89,5.6,35
2019,8月29日,81,6.4,27
2019,8月30日,86,0,30
2019,8月31日,86,22.6,29
2019,9月1日,94,26.1,27
2019,9月2日,94,72.7,28
2019,9月3日,90,17.6,30
2019,9月4日,90,5.7,29
2019,9月5日,90,10.7,30
2019,9月6日,85,0,28
2019,9月7日,85,6.2,30
2019,9月8日,86,0.2,30
2019,9月9日,86,0,32
2019,9月10日,87,1.2,33
2019,9月11日,86,0,33
2019,9月12日,87,0.8,32
2019,9月13日,86,0.3,30
2019,9月14日,84,0,29
2019,9月15日,83,2.6,29
2019,9月16日,78,0,27
2019,9月17日,84,2.8,27
2019,9月18日,76,0.6,27
2019,9月19日,80,1,25
2019,9月20日,83,24,25
2019,9月21日,92,59.9,21
2019,9月22日,80,0.6,20
2019,9月23日,83,4.3,25
2019,9月24日,77,0,27
2019,9月25日,82,0,28
2019,9月26日,79,0,27
2019,9月27日,82,0.6,27
2019,9月28日,87,0,27
2019,9月29日,87,0.1,27
2019,9月30日,92,44.9,28
2019,10月1日,92,123,23
2019,10月2日,86,0,29
2019,10月3日,88,3.5,30
2019,10月4日,89,2.2,31
2019,10月5日,85,3.8,26
2019,10月6日,81,0,24
2019,10月7日,83,0.6,28
2019,10月8日,81,4.4,21
2019,10月9日,74,0,23
2019,10月10日,76,0,27
2019,10月11日,84,2,25
2019,10月12日,83,1.1,24
2019,10月13日,83,3.2,24
2019,10月14日,82,14.9,24
2019,10月15日,72,0.5,18
2019,10月16日,88,15.6,20
2019,10月17日,84,4.7,20
2019,10月18日,82,0.2,21
2019,10月19日,82,0,22
2019,10月20日,80,0,23
2019,10月21日,83,0,23
2019,10月22日,77,0,22
2019,10月23日,83,0,21
2019,10月24日,84,0,23
2019,10月25日,83,6.9,23
2019,10月26日,87,13.5,18
2019,10月27日,88,15.6,16
2019,10月28日,88,0,17
2019,10月29日,69,0,22
2019,10月30日,72,0,25
2019,10月31日,75,0,26
2019,11月1日,79,0,23
2019,11月2日,79,0,23
2019,11月3日,83,0,21
2019,11月4日,80,1.6,21
2019,11月5日,75,0.4,19
2019,11月6日,89,7.6,18
2019,11月7日,82,6.1,18
2019,11月8日,69,0,19
2019,11月9日,71,0,19
2019,11月10日,64,0,24
2019,11月11日,58,0,24
2019,11月12日,81,0,20
2019,11月13日,49,0,18
2019,11月14日,70,0,19
2019,11月15日,80,0,20
2019,11月16日,86,0,24
2019,11月17日,75,0.3,27
2019,11月18日,44,0,13
2019,11月19日,64,0,13
2019,11月20日,68,0.2,16
2019,11月21日,84,0,18
2019,11月22日,94,0.2,21
2019,11月23日,96,0,20
2019,11月24日,83,27.3,22
2019,11月25日,72,0,11
2019,11月26日,78,0,13
2019,11月27日,86,10.9,11
2019,11月28日,71,0.4,12
2019,11月29日,75,0.6,13
2019,11月30日,95,76.9,14
2019,12月1日,77,0.2,12
2019,12月2日,65,0,10
2019,12月3日,55,0,12
2019,12月4日,59,0,12
2019,12月5日,76,7,12
2019,12月6日,70,0.4,9
2019,12月7日,62,0,10
2019,12月8日,71,0,14
2019,12月9日,74,0,16
2019,12月10日,65,0,21
2019,12月11日,73,0,16
2019,12月12日,77,0,15
2019,12月13日,77,0,20
2019,12月14日,82,0,17
2019,12月15日,83,0,18
2019,12月16日,87,0,21
2019,12月17日,84,1.6,16
2019,12月18日,84,8.8,11
2019,12月19日,80,6.4,8
2019,12月20日,92,27.3,10
2019,12月21日,97,77.3,11
2019,12月22日,94,1.2,11
2019,12月23日,93,24.2,13
2019,12月24日,95,2.2,12
2019,12月25日,92,3.5,16
2019,12月26日,75,0.4,12
2019,12月27日,67,0,11
2019,12月28日,83,0,13
2019,12月29日,81,0,18
2019,12月30日,74,1.2,13
2019,12月31日,72,0,6
2020,1月1日,80,0,11
2020,1月2日,88,0,12
2020,1月3日,94,4.2,11
2020,1月4日,91,1.5,12
2020,1月5日,93,0,15
2020,1月6日,94,0,23
2020,1月7日,74,0,22
2020,1月8日,74,0,8
2020,1月9日,92,7.7,9
2020,1月10日,96,41.2,10
2020,1月11日,87,9.9,10
2020,1月12日,76,0,8
2020,1月13日,83,0.6,10
2020,1月14日,73,0,9
2020,1月15日,96,26.7,7
2020,1月16日,92,9.3,9
2020,1月17日,78,0.5,7
2020,1月18日,76,0,7
2020,1月19日,75,0,10
2020,1月20日,73,0,12
2020,1月21日,83,0.6,12
2020,1月22日,93,19.4,15
2020,1月23日,95,9,11
2020,1月24日,92,8.5,10
2020,1月25日,97,57.5,8
2020,1月26日,92,22.9,10
2020,1月27日,85,0.3,8
2020,1月28日,78,0,7
2020,1月29日,78,0.9,9
2020,1月30日,72,0,8
2020,1月31日,62,0,10
2020,2月1日,77,0,14
2020,2月2日,78,1.9,14
2020,2月3日,85,3,12
2020,2月4日,83,0,9
2020,2月5日,80,0.5,12
2020,2月6日,94,55.4,9
2020,2月7日,86,0.4,8
2020,2月8日,83,0,9
2020,2月9日,75,0,13
2020,2月10日,76,0,15
2020,2月11日,98,29.6,13
2020,2月12日,92,0,17
2020,2月13日,97,12.6,18
2020,2月14日,95,0,20
2020,2月15日,89,42.3,17
2020,2月16日,66,0,4
2020,2月17日,58,0,8
2020,2月18日,59,0,10
2020,2月19日,78,0,15
2020,2月20日,85,0,16
2020,2月21日,80,2.7,20
2020,2月22日,77,0,17
2020,2月23日,79,0,16
2020,2月24日,90,0,21
2020,2月25日,89,6.6,26
2020,2月26日,85,1,11
2020,2月27日,83,0,12
2020,2月28日,89,0,18
2020,2月29日,95,65.2,12
2020,3月1日,85,2.7,14
2020,3月2日,81,0.7,10
2020,3月3日,88,7.2,10
2020,3月4日,69,0,11
2020,3月5日,74,0,12
2020,3月6日,91,5.4,15
2020,3月7日,90,0,18
2020,3月8日,94,9.4,16
2020,3月9日,87,0.3,20
2020,3月10日,82,0,14
2020,3月11日,74,0,18
2020,3月12日,96,19,15
2020,3月13日,86,3.1,15
2020,3月14日,77,0,14
2020,3月15日,64,0,19
2020,3月16日,73,0.1,17
2020,3月17日,76,0.2,20
2020,3月18日,75,0,23
2020,3月19日,55,0,22
2020,3月20日,75,0,20
2020,3月21日,95,18.2,25
2020,3月22日,81,0.8,18
2020,3月23日,65,0,17
2020,3月24日,71,0,20
2020,3月25日,94,6.7,23
2020,3月26日,94,24.5,25
2020,3月27日,85,24.4,14
2020,3月28日,80,0.6,8
2020,3月29日,95,49.9,12
2020,3月30日,95,3.4,12
2020,3月31日,93,21.2,13
2020,4月1日,83,0,16
2020,4月2日,75,0.3,17
2020,4月3日,71,0,17
2020,4月4日,81,0,18
2020,4月5日,70,0,13
2020,4月6日,77,0,17
2020,4月7日,57,0,19
2020,4月8日,55,0,21
2020,4月9日,78,0,22
2020,4月10日,88,0.6,23
2020,4月11日,85,6.6,16
2020,4月12日,75,5.8,17
2020,4月13日,57,0,17
2020,4月14日,80,8,20
2020,4月15日,74,0,22
2020,4月16日,75,0,26
2020,4月17日,69,0.6,24
2020,4月18日,80,9.4,21
2020,4月19日,85,0,19
2020,4月20日,85,11.5,23
2020,4月21日,88,10.8,12
2020,4月22日,79,0,15
2020,4月23日,55,0,17
2020,4月24日,67,0,21
2020,4月25日,66,0,27
2020,4月26日,79,0,24
2020,4月27日,66,0.2,20
2020,4月28日,70,0,23
2020,4月29日,75,0,26
2020,4月30日,91,0,30
2020,5月1日,91,0,30
2020,5月2日,86,2.2,30
2020,5月3日,67,0,35
2020,5月4日,88,0.2,34
2020,5月5日,92,13.4,23
2020,5月6日,89,0,24
2020,5月7日,87,0,26
2020,5月8日,92,21,28
2020,5月9日,86,18.3,25
2020,5月10日,84,0,23
2020,5月11日,78,0.2,26
2020,5月12日,66,0,29
2020,5月13日,77,0,27
2020,5月14日,93,32.2,26
2020,5月15日,94,25,29
2020,5月16日,85,12.4,29
2020,5月17日,84,0,34
2020,5月18日,81,4.2,32
2020,5月19日,65,0,28
2020,5月20日,81,0,27
2020,5月21日,96,66.2,21
2020,5月22日,94,1.8,19
2020,5月23日,79,0,27
2020,5月24日,71,0,24
2020,5月25日,79,0,25
2020,5月26日,81,24,22
2020,5月27日,92,8.9,24
2020,5月28日,84,0,30
2020,6月1日,86,0,29
2020,6月2日,94,53.7,28
2020,6月3日,95,18.2,25
2020,6月4日,95,29,25
2020,6月5日,95,30,26
2020,6月6日,89,1.7,24
2020,6月7日,90,0,27
2020,6月8日,93,0,27
2020,6月9日,92,0,30
2020,6月10日,94,3.7,29
2020,6月11日,89,0,31
2020,6月12日,86,0.1,36
2020,6月13日,86,1.8,37
2020,6月14日,87,3.2,35
2020,6月15日,92,13,31
2020,6月16日,93,0.9,30
2020,6月17日,88,0.8,32
2020,6月18日,91,11.4,36
2020,6月19日,89,9.7,24
2020,6月20日,92,11,22
2020,6月21日,87,2.2,22
2020,6月22日,92,0.4,27
2020,6月23日,95,17.9,27
2020,6月24日,95,8.1,27
2020,6月25日,94,117,26
2020,6月26日,90,0.6,26
2020,6月27日,90,1.8,26
2020,6月28日,90,26.9,29
2020,6月29日,27,2.9,33
2020,7月1日,87,0,28
2020,7月2日,96,14.6,25
2020,7月3日,93,1.8,27
2020,7月4日,97,93.6,26
2020,7月5日,94,21,27
2020,7月6日,93,10,27
2020,7月7日,91,30.7,31
2020,7月8日,89,0,29
2020,7月9日,92,0.7,29
2020,7月10日,92,8.1,29
2020,7月11日,92,0,29
2020,7月12日,80,0,39
2020,7月13日,89,23.8,35
2020,7月14日,90,1.7,29
2020,7月15日,95,32.5,26
2020,7月16日,95,7.1,27
2020,7月17日,92,2.7,31
2020,7月18日,85,0,32
2020,7月19日,87,0.3,38
2020,7月20日,89,23,35
2020,7月21日,91,1.8,32
2020,7月22日,90,0,33
2020,7月23日,89,7.1,35
2020,7月24日,90,18,34
2020,7月25日,92,36.5,27
2020,7月26日,89,47.4,32
2020,7月27日,93,24.7,29
2020,7月28日,87,33.5,29
2020,7月29日,87,12.1,32
2020,7月30日,25,0.6,31
2020,8月1日,96,0,33
2020,8月2日,94,0.1,33
2020,8月3日,95,29.1,28
2020,8月4日,94,10.4,32
2020,8月5日,92,2,30
2020,8月6日,94,12,36
2020,8月7日,94,0,36
2020,8月8日,94,0,34
2020,8月9日,92,1.8,36
2020,8月10日,87,0,37
2020,8月11日,88,1.7,38
2020,8月12日,0,0,37
2020,9月5日,83,0,30
2020,9月6日,75,0,28
2020,9月7日,74,0.6,32
2020,9月8日,93,0,31
2020,9月9日,86,0.4,33
2020,9月10日,94,12,32
2020,9月11日,92,1.4,28
2020,9月12日,88,0.9,28
2020,9月13日,82,1.2,27
2020,9月14日,91,9.4,26
2020,9月15日,94,3.2,24
2020,9月16日,94,13.5,28
2020,9月17日,95,9.5,23
2020,9月18日,94,13.9,21
2020,9月19日,91,6.3,22
2020,9月20日,80,4.2,26
2020,9月21日,95,56.8,18
2020,9月22日,96,65.2,20
2020,9月23日,86,0.6,23
2020,9月24日,84,2.4,26
2020,9月25日,83,4.3,25
2020,9月26日,82,3,25
2020,9月27日,97,180.2,20
2020,9月28日,31,8.9,20
2020,10月1日,85,0,27
2020,10月2日,82,0,29
2020,10月3日,89,1.8,30
2020,10月4日,82,0.9,22
2020,10月5日,67,0.5,19
2020,10月6日,75,1.3,22
2020,10月7日,79,3,22
2020,10月8日,76,1.9,22
2020,10月9日,78,0.3,23
2020,10月10日,82,0,23
2020,10月11日,82,0,25
2020,10月12日,84,0.3,23
2020,10月13日,79,0,23
2020,10月14日,77,1.5,23
2020,10月15日,76,0,22
2020,10月16日,82,4.2,19
2020,10月17日,75,0.2,21
2020,10月18日,81,1.6,19
2020,10月19日,75,0,23
2020,10月20日,92,6.6,19
2020,10月21日,92,50.4,18
2020,10月22日,80,4.9,19
2020,10月23日,75,0,20
2020,10月24日,26,0,22
